edited,name,uuid,gender,first_name,last_name,party,parliament,education,questions_get,answers_give,url_profile
2015-05-12 00:00,jorn-wunderlich,785e4b4c-9ba8-4850-a519-e33a22929065,male,Jörn,Wunderlich,DIE LINKE,Bundestag,"Volljurist, Richter am Amtsgericht a. D.",0,0,https://www.abgeordnetenwatch.de/profile/jorn-wunderlich
2015-05-17 01:08,hans-christian-strobele,78624205-27af-4211-969b-d147d12cc640,male,Hans-Christian,Ströbele,DIE GRÜNEN,Bundestag,Jurist,0,0,https://www.abgeordnetenwatch.de/profile/hans-christian-strobele
2015-05-20 01:08,rainer-arnold,78c1f169-dbb2-4d15-ab89-6d1a53da743e,male,Rainer,Arnold,SPD,Bundestag,Volkshochschulangestellter,0,0,https://www.abgeordnetenwatch.de/profile/rainer-arnold
2015-05-11 23:01,uwe-schummer,7914448c-6e36-4049-a1d2-a231c197290a,male,Uwe,Schummer,CDU,Bundestag,Groß- und Außenhandelskaufmann,0,0,https://www.abgeordnetenwatch.de/profile/uwe-schummer
2015-05-22 01:08,wolfgang-stefinger,7918c30d-9e42-48be-befe-5c16d393f2f5,male,Wolfgang,Stefinger,CSU,Bundestag,Dipl.-Betriebswirt (FH),0,0,https://www.abgeordnetenwatch.de/profile/wolfgang-stefinger
2015-05-12 10:00,kai-gehring,792c17a9-09d1-45b1-9fbc-827b4a905a43,male,Kai,Gehring,DIE GRÜNEN,Bundestag,Diplom-Sozialwissenschaftler,0,0,https://www.abgeordnetenwatch.de/profile/kai-gehring
2015-05-12 10:00,eberhard-gienger,794c2c57-e6b1-452a-9e50-a3b9e3d910a4,male,Eberhard,Gienger,CDU,Bundestag,"Kaufmann, Diplomsportlehrer",0,0,https://www.abgeordnetenwatch.de/profile/eberhard-gienger
2015-05-15 01:08,johann-saathoff,79d33013-6183-4c26-9ac2-b702cca53a16,male,Johann,Saathoff,SPD,Bundestag,Diplom-Verwaltungswirt (FH),0,0,https://www.abgeordnetenwatch.de/profile/johann-saathoff
2015-05-12 00:00,emmi-zeulner,79e4005e-d2af-4342-a552-f1230fda81ef,female,Emmi,Zeulner,CSU,Bundestag,Examinierte Gesundheits- und Krankenpflegerin,0,0,https://www.abgeordnetenwatch.de/profile/emmi-zeulner
2015-05-12 09:00,katharina-landgraf,7a3d29fd-c1cd-433f-a9f5-c9302ee25265,female,Katharina,Landgraf,CDU,Bundestag,Diplom-Meliorationsingenieurin,0,0,https://www.abgeordnetenwatch.de/profile/katharina-landgraf
2015-05-12 10:00,gustav-herzog,7a666065-4350-432c-9f40-21097321dae3,male,Gustav,Herzog,SPD,Bundestag,Chemielaborant,0,0,https://www.abgeordnetenwatch.de/profile/gustav-herzog
2015-05-18 01:08,artur-auernhammer,7b0d69ad-29a3-4dd2-97c5-b35b0432c92a,male,Artur,Auernhammer,CSU,Bundestag,Landwirt,0,0,https://www.abgeordnetenwatch.de/profile/artur-auernhammer
2015-05-31 01:08,martin-rabanus,7b263a3d-207d-4e4b-b863-f0edcca28865,male,Martin,Rabanus,SPD,Bundestag,"Hochschulstudium Politikwissenschaften, Jura, Soziolgie, Geschichte",0,0,https://www.abgeordnetenwatch.de/profile/martin-rabanus
2015-05-15 01:08,heinz-wiese,7b83af56-2439-49fb-8714-b7e36f238d87,male,Heinz,Wiese,CDU,Bundestag,Lehrer (in Pension),0,0,https://www.abgeordnetenwatch.de/profile/heinz-wiese
2015-05-12 09:00,antje-lezius,7beb649e-5931-4038-a754-bdf1608bb407,female,Antje,Lezius,CDU,Bundestag,Unternehmensberaterin,0,0,https://www.abgeordnetenwatch.de/profile/antje-lezius
2015-05-12 10:00,martin-gerster,7c80441e-0c84-4690-ae77-97ba9c3aea06,male,Martin,Gerster,SPD,Bundestag,Politikwissenschaftler,0,0,https://www.abgeordnetenwatch.de/profile/martin-gerster
2015-05-12 11:00,sybille-benning,7e215970-dc2c-4ce1-8686-3113136bb730,female,Sybille,Benning,CDU,Bundestag,Dipl.Ing. Landschaftsplanung,0,0,https://www.abgeordnetenwatch.de/profile/sybille-benning
2015-05-31 01:08,gabriela-heinrich,7fb7aa67-aa41-44e9-bd7f-4be05b34554a,female,Gabriela,Heinrich,SPD,Bundestag,Redakteurin,0,0,https://www.abgeordnetenwatch.de/profile/gabriela-heinrich
2015-05-29 01:08,michael-frieser,8037ebea-ef64-45dc-a610-92c2ff4a598a,male,Michael,Frieser,CSU,Bundestag,Rechtsanwalt,0,0,https://www.abgeordnetenwatch.de/profile/michael-frieser
2015-05-31 01:08,andrea-nahles,80b6034a-6537-47cc-a4c5-32a04f70fc36,female,Andrea,Nahles,SPD,Bundestag,Literaturwissenschaftlerin M. A.,0,0,https://www.abgeordnetenwatch.de/profile/andrea-nahles
2015-05-12 10:00,britta-haselmann,816e25e0-0385-4807-aadb-28de81113333,female,Britta,Haßelmann,DIE GRÜNEN,Bundestag,Diplom-Sozialarbeiterin,0,0,https://www.abgeordnetenwatch.de/profile/britta-haselmann
2015-05-30 01:08,klaus-mindrup,818ac3b0-6a92-41c3-895a-216c5307663a,male,Klaus,Mindrup,SPD,Bundestag,Freiberuflicher Gutachter und Entwickler (Dipl.-Biologe),0,0,https://www.abgeordnetenwatch.de/profile/klaus-mindrup
2015-05-12 09:00,barbel-hohn,81d79c87-558e-41b3-9140-77839bc239f1,female,Bärbel,Höhn,DIE GRÜNEN,Bundestag,Diplom-Mathematikerin,0,0,https://www.abgeordnetenwatch.de/profile/barbel-hohn
2015-05-30 01:08,metin-hakverdi,828a61bd-ffae-4c68-8eec-80579e31c954,male,Metin,Hakverdi,SPD,Bundestag,Jurist,0,0,https://www.abgeordnetenwatch.de/profile/metin-hakverdi
2015-05-12 09:00,erich-irlstorfer,82d80c32-f822-46a9-a2c6-d753c7ba6f1a,male,Erich,Irlstorfer,CSU,Bundestag,Aussendienstmitarbeiter,0,0,https://www.abgeordnetenwatch.de/profile/erich-irlstorfer
2015-05-31 01:08,wilhelm-priesmeier,82e5daf8-49f5-48ee-a9bc-362b819ac70a,male,Wilhelm,Priesmeier,SPD,Bundestag,Tierarzt,0,0,https://www.abgeordnetenwatch.de/profile/wilhelm-priesmeier
2015-05-30 01:08,prof-dr-iur-heribert-hirte,8337b9f2-06b6-45d6-8965-33a76deac558,male,Heribert,Hirte,CDU,Bundestag,Universitätsprofessor,0,0,https://www.abgeordnetenwatch.de/profile/prof-dr-iur-heribert-hirte
2015-05-12 11:00,christoph-bergner,83b814d1-7ee8-4be2-9ad8-b7d4fcb1c057,male,Christoph,Bergner,CDU,Bundestag,Hochschulagraringenieur,0,0,https://www.abgeordnetenwatch.de/profile/christoph-bergner
2015-05-12 02:00,carsten-linnemann,8432c8c5-c9ba-4eaf-bdb7-db0f040720fb,male,Carsten,Linnemann,CDU,Bundestag,Diplom-Volkswirt,0,0,https://www.abgeordnetenwatch.de/profile/carsten-linnemann
2015-05-12 00:00,sylvia-kotting-uhl,84522938-105c-4fb3-9408-2b727b47fc31,female,Sylvia,Kotting-Uhl,DIE GRÜNEN,Bundestag,Dozentin,0,0,https://www.abgeordnetenwatch.de/profile/sylvia-kotting-uhl
2015-05-14 01:08,karsten-moring,84aa9ed1-76fd-4751-bdfc-95d593887295,male,Karsten,Möring,CDU,Bundestag,Schulleiter,0,0,https://www.abgeordnetenwatch.de/profile/karsten-moring
2015-05-31 01:08,ute-bertram,84bebad1-935e-4b04-8418-e46a4c1c6e96,female,Ute,Bertram,CDU,Bundestag,Bankfachwirtin,0,0,https://www.abgeordnetenwatch.de/profile/ute-bertram
2015-05-15 01:08,gunter-lach,850a21d4-03e9-4ea3-816a-5becff15ecf5,male,Günter,Lach,CDU,Bundestag,Technischer Angestellter,0,0,https://www.abgeordnetenwatch.de/profile/gunter-lach
2015-05-12 01:00,anita-schafer,851da7a3-5106-41d9-a0ad-93372b78c270,female,Anita,Schäfer,CDU,Bundestag,Angestellte,0,0,https://www.abgeordnetenwatch.de/profile/anita-schafer
2015-05-23 01:08,carsten-trager,852817ee-a23d-4101-8321-7f62ac849e83,male,Carsten,Träger,SPD,Bundestag,"Abschluss in Politikwissenschaft, Medienwissenschaft und Geschichte",0,0,https://www.abgeordnetenwatch.de/profile/carsten-trager
2015-05-30 01:08,eckhardt-rehberg,8647e9c3-0955-4575-8ab5-33937b3ea43d,male,Eckhardt,Rehberg,CDU,Bundestag,Diplom-Ingenieur für Informationsverarbeitung,0,0,https://www.abgeordnetenwatch.de/profile/eckhardt-rehberg
2015-05-12 09:00,sabine-leidig,867c570d-3180-493e-b24a-88bf9fd6dbab,female,Sabine,Leidig,DIE LINKE,Bundestag,Geschäftsführerin,0,0,https://www.abgeordnetenwatch.de/profile/sabine-leidig
2015-05-12 02:00,brigitte-pothmer,868f9528-0dfc-4020-84ae-36f058aebb68,female,Brigitte,Pothmer,DIE GRÜNEN,Bundestag,Diplom-Sozialpädagogin,0,0,https://www.abgeordnetenwatch.de/profile/brigitte-pothmer
2015-05-12 10:00,dr-thomas-gambke,876acb80-4a8f-4b7a-b9f0-057fe2f6c431,male,Thomas,Gambke,DIE GRÜNEN,Bundestag,Physiker,0,0,https://www.abgeordnetenwatch.de/profile/dr-thomas-gambke
