uuid,date,title,vote
584e69e9-c0cd-45e6-9e6f-b73514287675,21.02.2014,"Diätenerhöhung","JA"
584e69e9-c0cd-45e6-9e6f-b73514287675,21.02.2014,"Gesetz zur Strafbarkeit von Abgeordnetenbestechung","JA"
584e69e9-c0cd-45e6-9e6f-b73514287675,20.02.2014,"Fortsetzung des Afghanistan-Einsatzes (ISAF)","JA"
584e69e9-c0cd-45e6-9e6f-b73514287675,20.02.2014,"Verlängerung des Bundeswehreinsatzes in Mali","JA"
584e69e9-c0cd-45e6-9e6f-b73514287675,30.01.2014,"Anbau von Genmais in der EU verhindern","NEIN"
584e69e9-c0cd-45e6-9e6f-b73514287675,29.01.2014,"Fortsetzung des Patriot-Einsatzes in der Türkei","JA"
584e69e9-c0cd-45e6-9e6f-b73514287675,29.01.2014,"Verlängerung des Anti-Terror-Einsatzes im Mittelmeer (OAE)","JA"
584e69e9-c0cd-45e6-9e6f-b73514287675,28.11.2013,"Verlängerung des Bundeswehreinsatzes in Südsudan (UNMISS)","JA"
584e69e9-c0cd-45e6-9e6f-b73514287675,28.11.2013,"Verlängerung des Darfur-Einsatzes (UNAMID)","JA"
uuid,date,title,vote
58df3a0e-7fef-42df-b1d0-0d67bb090955,22.05.2015,"Tarifeinheitsgesetz","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,27.03.2015,"Nachhaltige und zukunftsweisende Liegenschaftspolitik","nicht beteiligt"
58df3a0e-7fef-42df-b1d0-0d67bb090955,27.03.2015,"PKW-Maut","nicht beteiligt"
58df3a0e-7fef-42df-b1d0-0d67bb090955,26.03.2015,"Kooperative Holzvermarktung","NEIN"
58df3a0e-7fef-42df-b1d0-0d67bb090955,27.02.2015,"Finanzhilfen für Griechenland","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,26.02.2015,"Verlängerung des Bundeswehreinsatzes in Mali (EUTM Mali)","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,29.01.2015,"Ausbildungsunterstützungseinsatz Kurdistan-Irak","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,29.01.2015,"Bundeswehreinsatz zur Luftüberwachung in der Türkei","nicht beteiligt"
58df3a0e-7fef-42df-b1d0-0d67bb090955,19.12.2014,"Bundeswehreinsatz in Afghanistan","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,18.12.2014,"Bundesdatenschutzgesetz","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,18.12.2014,"Fortsetzung des Bundeswehreinsatzes im Mittelmeer (ACTIVE ENDEAVOUR)","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,28.11.2014,"Bundeshaushaltsplan 2015","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,13.11.2014,"BAföG-Reform","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,13.11.2014,"Fortsetzung des Bundeswehreinsatzes im Südsudan","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,13.11.2014,"Lockerung des Kooperationsverbotes bei Hochschulfinanzierung","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,13.11.2014,"Verlängerung des Bundeswehreinsatzes in Darfur (UNAMID)","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,16.10.2014,"Klage gegen EU-Beschluss zu staatlichen AKW-Beihilfen","NEIN"
58df3a0e-7fef-42df-b1d0-0d67bb090955,25.09.2014,"Ablehnung von Schiedsgerichten bei TTIP und CETA","NEIN"
58df3a0e-7fef-42df-b1d0-0d67bb090955,03.07.2014,"Abschaffung der sachgrundlosen Befristung","NEIN"
58df3a0e-7fef-42df-b1d0-0d67bb090955,03.07.2014,"Änderung des Staatsangehörigkeitsgesetzes","nicht beteiligt"
58df3a0e-7fef-42df-b1d0-0d67bb090955,03.07.2014,"Angleichung der Renten in Ostdeutschland an Westniveau","nicht beteiligt"
58df3a0e-7fef-42df-b1d0-0d67bb090955,03.07.2014,"Flächendeckender Mindestlohn von 8,50 Euro","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,27.06.2014,"Länderöffnungsklausel zur Vorgabe von Mindestabständen zwischen Windenergieanlagen","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,27.06.2014,"Novelle des EEG","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,25.06.2014,"Fortsetzung des Libanon-Einsatzes (UNFIL)","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,25.06.2014,"Verlängerung der Bundeswehrbeteiligung an UN-Mission in Mali (Unterstützungsmission)","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,05.06.2014,"Verlängerung des Bundeswehreinsatzes im Kosovo (KFOR)","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,23.05.2014,"Rentenpaket","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,22.05.2014,"Änderungsantrag Gesetz zur Sukzessivadoption durch Lebenspartner","NEIN"
58df3a0e-7fef-42df-b1d0-0d67bb090955,22.05.2014,"Nationale Ausnahmeregelungen beim Anbau von Gentechnik","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,22.05.2014,"Verlängerung des Bundeswehreinsatzes gegen Piraterie (Operation Atalanta)","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,08.05.2014,"Kündigung der bilateralen Kooperationen im Bereich der Nutzung atomarer Technologien","NEIN"
58df3a0e-7fef-42df-b1d0-0d67bb090955,08.05.2014,"Mindestlohn in der Fleischwirtschaft","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,08.05.2014,"Transparenz bei Rüstungsexportentscheidungen","NEIN"
58df3a0e-7fef-42df-b1d0-0d67bb090955,10.04.2014,"Beteiligung der Bundeswehr an EUFOR-Einsatz Zentralafrika","nicht beteiligt"
58df3a0e-7fef-42df-b1d0-0d67bb090955,09.04.2014,"Beteiligung der Bundeswehr bei Vernichtung syrischer Chemiewaffen","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,03.04.2014,"Beteiligung deutscher Streikräfte an Ausbildungsmission in Somalia","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,03.04.2014,"Minderheitenrechte im Bundestag","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,13.03.2014,"Für eine Kennzeichnungspflicht von Gen-Honig","NEIN"
58df3a0e-7fef-42df-b1d0-0d67bb090955,21.02.2014,"Diätenerhöhung","nicht beteiligt"
58df3a0e-7fef-42df-b1d0-0d67bb090955,21.02.2014,"Gesetz zur Strafbarkeit von Abgeordnetenbestechung","nicht beteiligt"
58df3a0e-7fef-42df-b1d0-0d67bb090955,20.02.2014,"Fortsetzung des Afghanistan-Einsatzes (ISAF)","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,20.02.2014,"Verlängerung des Bundeswehreinsatzes in Mali","nicht beteiligt"
58df3a0e-7fef-42df-b1d0-0d67bb090955,30.01.2014,"Anbau von Genmais in der EU verhindern","NEIN"
58df3a0e-7fef-42df-b1d0-0d67bb090955,29.01.2014,"Fortsetzung des Patriot-Einsatzes in der Türkei","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,29.01.2014,"Verlängerung des Anti-Terror-Einsatzes im Mittelmeer (OAE)","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,28.11.2013,"Verlängerung des Bundeswehreinsatzes in Südsudan (UNMISS)","JA"
58df3a0e-7fef-42df-b1d0-0d67bb090955,28.11.2013,"Verlängerung des Darfur-Einsatzes (UNAMID)","JA"
uuid,date,title,vote
597a0668-0559-4543-9ca1-98eafc69b8d3,22.05.2015,"Tarifeinheitsgesetz","nicht beteiligt"
597a0668-0559-4543-9ca1-98eafc69b8d3,27.03.2015,"Nachhaltige und zukunftsweisende Liegenschaftspolitik","NEIN"
597a0668-0559-4543-9ca1-98eafc69b8d3,27.03.2015,"PKW-Maut","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,26.03.2015,"Kooperative Holzvermarktung","NEIN"
597a0668-0559-4543-9ca1-98eafc69b8d3,27.02.2015,"Finanzhilfen für Griechenland","nicht beteiligt"
597a0668-0559-4543-9ca1-98eafc69b8d3,26.02.2015,"Verlängerung des Bundeswehreinsatzes in Mali (EUTM Mali)","nicht beteiligt"
597a0668-0559-4543-9ca1-98eafc69b8d3,29.01.2015,"Ausbildungsunterstützungseinsatz Kurdistan-Irak","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,29.01.2015,"Bundeswehreinsatz zur Luftüberwachung in der Türkei","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,19.12.2014,"Bundeswehreinsatz in Afghanistan","nicht beteiligt"
597a0668-0559-4543-9ca1-98eafc69b8d3,18.12.2014,"Bundesdatenschutzgesetz","nicht beteiligt"
597a0668-0559-4543-9ca1-98eafc69b8d3,18.12.2014,"Fortsetzung des Bundeswehreinsatzes im Mittelmeer (ACTIVE ENDEAVOUR)","nicht beteiligt"
597a0668-0559-4543-9ca1-98eafc69b8d3,28.11.2014,"Bundeshaushaltsplan 2015","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,13.11.2014,"BAföG-Reform","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,13.11.2014,"Fortsetzung des Bundeswehreinsatzes im Südsudan","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,13.11.2014,"Lockerung des Kooperationsverbotes bei Hochschulfinanzierung","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,13.11.2014,"Verlängerung des Bundeswehreinsatzes in Darfur (UNAMID)","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,16.10.2014,"Klage gegen EU-Beschluss zu staatlichen AKW-Beihilfen","NEIN"
597a0668-0559-4543-9ca1-98eafc69b8d3,25.09.2014,"Ablehnung von Schiedsgerichten bei TTIP und CETA","NEIN"
597a0668-0559-4543-9ca1-98eafc69b8d3,03.07.2014,"Abschaffung der sachgrundlosen Befristung","NEIN"
597a0668-0559-4543-9ca1-98eafc69b8d3,03.07.2014,"Änderung des Staatsangehörigkeitsgesetzes","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,03.07.2014,"Angleichung der Renten in Ostdeutschland an Westniveau","NEIN"
597a0668-0559-4543-9ca1-98eafc69b8d3,03.07.2014,"Flächendeckender Mindestlohn von 8,50 Euro","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,27.06.2014,"Länderöffnungsklausel zur Vorgabe von Mindestabständen zwischen Windenergieanlagen","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,27.06.2014,"Novelle des EEG","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,25.06.2014,"Fortsetzung des Libanon-Einsatzes (UNFIL)","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,25.06.2014,"Verlängerung der Bundeswehrbeteiligung an UN-Mission in Mali (Unterstützungsmission)","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,05.06.2014,"Verlängerung des Bundeswehreinsatzes im Kosovo (KFOR)","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,23.05.2014,"Rentenpaket","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,22.05.2014,"Änderungsantrag Gesetz zur Sukzessivadoption durch Lebenspartner","NEIN"
597a0668-0559-4543-9ca1-98eafc69b8d3,22.05.2014,"Nationale Ausnahmeregelungen beim Anbau von Gentechnik","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,22.05.2014,"Verlängerung des Bundeswehreinsatzes gegen Piraterie (Operation Atalanta)","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,08.05.2014,"Kündigung der bilateralen Kooperationen im Bereich der Nutzung atomarer Technologien","NEIN"
597a0668-0559-4543-9ca1-98eafc69b8d3,08.05.2014,"Mindestlohn in der Fleischwirtschaft","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,08.05.2014,"Transparenz bei Rüstungsexportentscheidungen","NEIN"
597a0668-0559-4543-9ca1-98eafc69b8d3,10.04.2014,"Beteiligung der Bundeswehr an EUFOR-Einsatz Zentralafrika","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,09.04.2014,"Beteiligung der Bundeswehr bei Vernichtung syrischer Chemiewaffen","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,03.04.2014,"Beteiligung deutscher Streikräfte an Ausbildungsmission in Somalia","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,03.04.2014,"Minderheitenrechte im Bundestag","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,13.03.2014,"Für eine Kennzeichnungspflicht von Gen-Honig","NEIN"
597a0668-0559-4543-9ca1-98eafc69b8d3,21.02.2014,"Diätenerhöhung","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,21.02.2014,"Gesetz zur Strafbarkeit von Abgeordnetenbestechung","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,20.02.2014,"Fortsetzung des Afghanistan-Einsatzes (ISAF)","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,20.02.2014,"Verlängerung des Bundeswehreinsatzes in Mali","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,30.01.2014,"Anbau von Genmais in der EU verhindern","NEIN"
597a0668-0559-4543-9ca1-98eafc69b8d3,29.01.2014,"Fortsetzung des Patriot-Einsatzes in der Türkei","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,29.01.2014,"Verlängerung des Anti-Terror-Einsatzes im Mittelmeer (OAE)","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,28.11.2013,"Verlängerung des Bundeswehreinsatzes in Südsudan (UNMISS)","JA"
597a0668-0559-4543-9ca1-98eafc69b8d3,28.11.2013,"Verlängerung des Darfur-Einsatzes (UNAMID)","JA"
uuid,date,title,vote
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,22.05.2015,"Tarifeinheitsgesetz","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,27.03.2015,"Nachhaltige und zukunftsweisende Liegenschaftspolitik","NEIN"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,27.03.2015,"PKW-Maut","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,26.03.2015,"Kooperative Holzvermarktung","NEIN"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,27.02.2015,"Finanzhilfen für Griechenland","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,26.02.2015,"Verlängerung des Bundeswehreinsatzes in Mali (EUTM Mali)","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,29.01.2015,"Ausbildungsunterstützungseinsatz Kurdistan-Irak","nicht beteiligt"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,29.01.2015,"Bundeswehreinsatz zur Luftüberwachung in der Türkei","nicht beteiligt"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,19.12.2014,"Bundeswehreinsatz in Afghanistan","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,18.12.2014,"Bundesdatenschutzgesetz","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,18.12.2014,"Fortsetzung des Bundeswehreinsatzes im Mittelmeer (ACTIVE ENDEAVOUR)","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,28.11.2014,"Bundeshaushaltsplan 2015","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,13.11.2014,"BAföG-Reform","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,13.11.2014,"Fortsetzung des Bundeswehreinsatzes im Südsudan","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,13.11.2014,"Lockerung des Kooperationsverbotes bei Hochschulfinanzierung","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,13.11.2014,"Verlängerung des Bundeswehreinsatzes in Darfur (UNAMID)","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,16.10.2014,"Klage gegen EU-Beschluss zu staatlichen AKW-Beihilfen","NEIN"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,25.09.2014,"Ablehnung von Schiedsgerichten bei TTIP und CETA","NEIN"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,03.07.2014,"Abschaffung der sachgrundlosen Befristung","NEIN"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,03.07.2014,"Änderung des Staatsangehörigkeitsgesetzes","nicht beteiligt"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,03.07.2014,"Angleichung der Renten in Ostdeutschland an Westniveau","NEIN"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,03.07.2014,"Flächendeckender Mindestlohn von 8,50 Euro","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,27.06.2014,"Länderöffnungsklausel zur Vorgabe von Mindestabständen zwischen Windenergieanlagen","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,27.06.2014,"Novelle des EEG","nicht beteiligt"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,25.06.2014,"Fortsetzung des Libanon-Einsatzes (UNFIL)","nicht beteiligt"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,25.06.2014,"Verlängerung der Bundeswehrbeteiligung an UN-Mission in Mali (Unterstützungsmission)","nicht beteiligt"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,05.06.2014,"Verlängerung des Bundeswehreinsatzes im Kosovo (KFOR)","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,23.05.2014,"Rentenpaket","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,22.05.2014,"Änderungsantrag Gesetz zur Sukzessivadoption durch Lebenspartner","enthalten"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,22.05.2014,"Nationale Ausnahmeregelungen beim Anbau von Gentechnik","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,22.05.2014,"Verlängerung des Bundeswehreinsatzes gegen Piraterie (Operation Atalanta)","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,08.05.2014,"Kündigung der bilateralen Kooperationen im Bereich der Nutzung atomarer Technologien","NEIN"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,08.05.2014,"Mindestlohn in der Fleischwirtschaft","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,08.05.2014,"Transparenz bei Rüstungsexportentscheidungen","NEIN"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,10.04.2014,"Beteiligung der Bundeswehr an EUFOR-Einsatz Zentralafrika","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,09.04.2014,"Beteiligung der Bundeswehr bei Vernichtung syrischer Chemiewaffen","nicht beteiligt"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,03.04.2014,"Beteiligung deutscher Streikräfte an Ausbildungsmission in Somalia","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,03.04.2014,"Minderheitenrechte im Bundestag","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,13.03.2014,"Für eine Kennzeichnungspflicht von Gen-Honig","NEIN"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,21.02.2014,"Diätenerhöhung","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,21.02.2014,"Gesetz zur Strafbarkeit von Abgeordnetenbestechung","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,20.02.2014,"Fortsetzung des Afghanistan-Einsatzes (ISAF)","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,20.02.2014,"Verlängerung des Bundeswehreinsatzes in Mali","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,30.01.2014,"Anbau von Genmais in der EU verhindern","NEIN"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,29.01.2014,"Fortsetzung des Patriot-Einsatzes in der Türkei","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,29.01.2014,"Verlängerung des Anti-Terror-Einsatzes im Mittelmeer (OAE)","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,28.11.2013,"Verlängerung des Bundeswehreinsatzes in Südsudan (UNMISS)","JA"
59b1a04e-542c-4e3d-ba06-5e3ee80d0066,28.11.2013,"Verlängerung des Darfur-Einsatzes (UNAMID)","JA"
uuid,date,title,vote
59efc879-17a5-4efd-802d-1fae5a17b6c9,22.05.2015,"Tarifeinheitsgesetz","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,27.03.2015,"Nachhaltige und zukunftsweisende Liegenschaftspolitik","NEIN"
59efc879-17a5-4efd-802d-1fae5a17b6c9,27.03.2015,"PKW-Maut","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,26.03.2015,"Kooperative Holzvermarktung","NEIN"
59efc879-17a5-4efd-802d-1fae5a17b6c9,27.02.2015,"Finanzhilfen für Griechenland","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,26.02.2015,"Verlängerung des Bundeswehreinsatzes in Mali (EUTM Mali)","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,29.01.2015,"Ausbildungsunterstützungseinsatz Kurdistan-Irak","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,29.01.2015,"Bundeswehreinsatz zur Luftüberwachung in der Türkei","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,19.12.2014,"Bundeswehreinsatz in Afghanistan","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,18.12.2014,"Bundesdatenschutzgesetz","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,18.12.2014,"Fortsetzung des Bundeswehreinsatzes im Mittelmeer (ACTIVE ENDEAVOUR)","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,28.11.2014,"Bundeshaushaltsplan 2015","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,13.11.2014,"BAföG-Reform","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,13.11.2014,"Fortsetzung des Bundeswehreinsatzes im Südsudan","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,13.11.2014,"Lockerung des Kooperationsverbotes bei Hochschulfinanzierung","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,13.11.2014,"Verlängerung des Bundeswehreinsatzes in Darfur (UNAMID)","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,16.10.2014,"Klage gegen EU-Beschluss zu staatlichen AKW-Beihilfen","NEIN"
59efc879-17a5-4efd-802d-1fae5a17b6c9,25.09.2014,"Ablehnung von Schiedsgerichten bei TTIP und CETA","NEIN"
59efc879-17a5-4efd-802d-1fae5a17b6c9,03.07.2014,"Abschaffung der sachgrundlosen Befristung","NEIN"
59efc879-17a5-4efd-802d-1fae5a17b6c9,03.07.2014,"Änderung des Staatsangehörigkeitsgesetzes","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,03.07.2014,"Angleichung der Renten in Ostdeutschland an Westniveau","NEIN"
59efc879-17a5-4efd-802d-1fae5a17b6c9,03.07.2014,"Flächendeckender Mindestlohn von 8,50 Euro","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,27.06.2014,"Länderöffnungsklausel zur Vorgabe von Mindestabständen zwischen Windenergieanlagen","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,27.06.2014,"Novelle des EEG","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,25.06.2014,"Fortsetzung des Libanon-Einsatzes (UNFIL)","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,25.06.2014,"Verlängerung der Bundeswehrbeteiligung an UN-Mission in Mali (Unterstützungsmission)","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,05.06.2014,"Verlängerung des Bundeswehreinsatzes im Kosovo (KFOR)","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,23.05.2014,"Rentenpaket","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,22.05.2014,"Änderungsantrag Gesetz zur Sukzessivadoption durch Lebenspartner","NEIN"
59efc879-17a5-4efd-802d-1fae5a17b6c9,22.05.2014,"Nationale Ausnahmeregelungen beim Anbau von Gentechnik","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,22.05.2014,"Verlängerung des Bundeswehreinsatzes gegen Piraterie (Operation Atalanta)","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,08.05.2014,"Kündigung der bilateralen Kooperationen im Bereich der Nutzung atomarer Technologien","NEIN"
59efc879-17a5-4efd-802d-1fae5a17b6c9,08.05.2014,"Mindestlohn in der Fleischwirtschaft","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,08.05.2014,"Transparenz bei Rüstungsexportentscheidungen","NEIN"
59efc879-17a5-4efd-802d-1fae5a17b6c9,10.04.2014,"Beteiligung der Bundeswehr an EUFOR-Einsatz Zentralafrika","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,09.04.2014,"Beteiligung der Bundeswehr bei Vernichtung syrischer Chemiewaffen","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,03.04.2014,"Beteiligung deutscher Streikräfte an Ausbildungsmission in Somalia","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,03.04.2014,"Minderheitenrechte im Bundestag","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,13.03.2014,"Für eine Kennzeichnungspflicht von Gen-Honig","NEIN"
59efc879-17a5-4efd-802d-1fae5a17b6c9,21.02.2014,"Diätenerhöhung","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,21.02.2014,"Gesetz zur Strafbarkeit von Abgeordnetenbestechung","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,20.02.2014,"Fortsetzung des Afghanistan-Einsatzes (ISAF)","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,20.02.2014,"Verlängerung des Bundeswehreinsatzes in Mali","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,30.01.2014,"Anbau von Genmais in der EU verhindern","NEIN"
59efc879-17a5-4efd-802d-1fae5a17b6c9,29.01.2014,"Fortsetzung des Patriot-Einsatzes in der Türkei","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,29.01.2014,"Verlängerung des Anti-Terror-Einsatzes im Mittelmeer (OAE)","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,28.11.2013,"Verlängerung des Bundeswehreinsatzes in Südsudan (UNMISS)","JA"
59efc879-17a5-4efd-802d-1fae5a17b6c9,28.11.2013,"Verlängerung des Darfur-Einsatzes (UNAMID)","JA"
uuid,date,title,vote
59f870da-73a7-4b8e-bb2f-5ff4160bf5f4,22.05.2015,"Tarifeinheitsgesetz","NEIN"
59f870da-73a7-4b8e-bb2f-5ff4160bf5f4,27.03.2015,"Nachhaltige und zukunftsweisende Liegenschaftspolitik","JA"
59f870da-73a7-4b8e-bb2f-5ff4160bf5f4,27.03.2015,"PKW-Maut","NEIN"
59f870da-73a7-4b8e-bb2f-5ff4160bf5f4,26.03.2015,"Kooperative Holzvermarktung","JA"
59f870da-73a7-4b8e-bb2f-5ff4160bf5f4,27.02.2015,"Finanzhilfen für Griechenland","JA"
59f870da-73a7-4b8e-bb2f-5ff4160bf5f4,26.02.2015,"Verlängerung des Bundeswehreinsatzes in Mali (EUTM Mali)","JA"
59f870da-73a7-4b8e-bb2f-5ff4160bf5f4,29.01.2015,"Ausbildungsunterstützungseinsatz Kurdistan-Irak","enthalten"
59f870da-73a7-4b8e-bb2f-5ff4160bf5f4,29.01.2015,"Bundeswehreinsatz zur Luftüberwachung in der Türkei","JA"
59f870da-73a7-4b8e-bb2f-5ff4160bf5f4,19.12.2014,"Bundeswehreinsatz in Afghanistan","JA"
59f870da-73a7-4b8e-bb2f-5ff4160bf5f4,18.12.2014,"Bundesdatenschutzgesetz","NEIN"
