uuid,date,title,vote
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,28.11.2013,"Verlängerung des Darfur-Einsatzes (UNAMID)","JA"
uuid,date,title,vote
014490fc-3403-4255-b92d-175816269937,22.05.2015,"Tarifeinheitsgesetz","JA"
014490fc-3403-4255-b92d-175816269937,27.03.2015,"Nachhaltige und zukunftsweisende Liegenschaftspolitik","NEIN"
014490fc-3403-4255-b92d-175816269937,27.03.2015,"PKW-Maut","JA"
014490fc-3403-4255-b92d-175816269937,26.03.2015,"Kooperative Holzvermarktung","NEIN"
014490fc-3403-4255-b92d-175816269937,27.02.2015,"Finanzhilfen für Griechenland","enthalten"
014490fc-3403-4255-b92d-175816269937,26.02.2015,"Verlängerung des Bundeswehreinsatzes in Mali (EUTM Mali)","JA"
014490fc-3403-4255-b92d-175816269937,29.01.2015,"Ausbildungsunterstützungseinsatz Kurdistan-Irak","JA"
014490fc-3403-4255-b92d-175816269937,29.01.2015,"Bundeswehreinsatz zur Luftüberwachung in der Türkei","JA"
014490fc-3403-4255-b92d-175816269937,19.12.2014,"Bundeswehreinsatz in Afghanistan","JA"
014490fc-3403-4255-b92d-175816269937,18.12.2014,"Bundesdatenschutzgesetz","JA"
014490fc-3403-4255-b92d-175816269937,18.12.2014,"Fortsetzung des Bundeswehreinsatzes im Mittelmeer (ACTIVE ENDEAVOUR)","JA"
014490fc-3403-4255-b92d-175816269937,28.11.2014,"Bundeshaushaltsplan 2015","JA"
014490fc-3403-4255-b92d-175816269937,13.11.2014,"BAföG-Reform","JA"
014490fc-3403-4255-b92d-175816269937,13.11.2014,"Fortsetzung des Bundeswehreinsatzes im Südsudan","JA"
014490fc-3403-4255-b92d-175816269937,13.11.2014,"Lockerung des Kooperationsverbotes bei Hochschulfinanzierung","JA"
014490fc-3403-4255-b92d-175816269937,13.11.2014,"Verlängerung des Bundeswehreinsatzes in Darfur (UNAMID)","JA"
014490fc-3403-4255-b92d-175816269937,16.10.2014,"Klage gegen EU-Beschluss zu staatlichen AKW-Beihilfen","NEIN"
014490fc-3403-4255-b92d-175816269937,25.09.2014,"Ablehnung von Schiedsgerichten bei TTIP und CETA","NEIN"
014490fc-3403-4255-b92d-175816269937,03.07.2014,"Abschaffung der sachgrundlosen Befristung","NEIN"
014490fc-3403-4255-b92d-175816269937,03.07.2014,"Änderung des Staatsangehörigkeitsgesetzes","JA"
014490fc-3403-4255-b92d-175816269937,03.07.2014,"Angleichung der Renten in Ostdeutschland an Westniveau","NEIN"
014490fc-3403-4255-b92d-175816269937,03.07.2014,"Flächendeckender Mindestlohn von 8,50 Euro","JA"
014490fc-3403-4255-b92d-175816269937,27.06.2014,"Länderöffnungsklausel zur Vorgabe von Mindestabständen zwischen Windenergieanlagen","JA"
014490fc-3403-4255-b92d-175816269937,27.06.2014,"Novelle des EEG","JA"
014490fc-3403-4255-b92d-175816269937,25.06.2014,"Fortsetzung des Libanon-Einsatzes (UNFIL)","JA"
014490fc-3403-4255-b92d-175816269937,25.06.2014,"Verlängerung der Bundeswehrbeteiligung an UN-Mission in Mali (Unterstützungsmission)","JA"
014490fc-3403-4255-b92d-175816269937,05.06.2014,"Verlängerung des Bundeswehreinsatzes im Kosovo (KFOR)","JA"
014490fc-3403-4255-b92d-175816269937,23.05.2014,"Rentenpaket","JA"
014490fc-3403-4255-b92d-175816269937,22.05.2014,"Änderungsantrag Gesetz zur Sukzessivadoption durch Lebenspartner","NEIN"
014490fc-3403-4255-b92d-175816269937,22.05.2014,"Nationale Ausnahmeregelungen beim Anbau von Gentechnik","JA"
014490fc-3403-4255-b92d-175816269937,22.05.2014,"Verlängerung des Bundeswehreinsatzes gegen Piraterie (Operation Atalanta)","JA"
014490fc-3403-4255-b92d-175816269937,08.05.2014,"Kündigung der bilateralen Kooperationen im Bereich der Nutzung atomarer Technologien","NEIN"
014490fc-3403-4255-b92d-175816269937,08.05.2014,"Mindestlohn in der Fleischwirtschaft","JA"
014490fc-3403-4255-b92d-175816269937,08.05.2014,"Transparenz bei Rüstungsexportentscheidungen","NEIN"
014490fc-3403-4255-b92d-175816269937,10.04.2014,"Beteiligung der Bundeswehr an EUFOR-Einsatz Zentralafrika","JA"
014490fc-3403-4255-b92d-175816269937,09.04.2014,"Beteiligung der Bundeswehr bei Vernichtung syrischer Chemiewaffen","JA"
014490fc-3403-4255-b92d-175816269937,03.04.2014,"Beteiligung deutscher Streikräfte an Ausbildungsmission in Somalia","JA"
014490fc-3403-4255-b92d-175816269937,03.04.2014,"Minderheitenrechte im Bundestag","JA"
014490fc-3403-4255-b92d-175816269937,13.03.2014,"Für eine Kennzeichnungspflicht von Gen-Honig","NEIN"
014490fc-3403-4255-b92d-175816269937,21.02.2014,"Diätenerhöhung","JA"
